roselyne bachelot;1.0;_
ministre de la santé;0.11152591070779348;_
choses;0.0882717435106965;_
l'hôpital;0.08728294043375102;_
médecins;0.08276548444238273;_
franz;0.0809764686170294;_
jean-jacques;0.08084405224782656;_
français;0.08038915405027455;_
ministre;0.07992263308160082;_
président de la république;0.07757697393761476;_
question;0.07464628192151433;_
olivier giesbert;0.07457015523352115;_
exemple;0.070373557345416;_
gouvernement;0.06356307907165192;_
maladie;0.06323920134902276;_
presse;0.058315352889973665;_
ministere;0.05637059136356215;_
problème;0.05564006744518887;_
hôpitaux;0.05520692569865507;_
doute;0.05422135051418161;_
serge moati;0.05416076883463005;_
urgences;0.05291137341720495;_
narquin;0.05230192386953745;_
heure;0.05176484878334339;_
monde;0.05151776186192847;_
d'accord;0.050015467509965744;_
temps;0.04937280335227698;_
besoin;0.045456224302250395;_
didier tabuteau;0.045257489713412695;_
matin;0.04326353250527712;_
all rights reserved;0.043119497985333745;_
sécurité sociale;0.041724592480981225;_
olivier;0.041388062170125604;_
moment;0.03932717342246672;_
accord;0.03642255646145;_
frédéric ploquin;0.036294399325754435;_
franchises;0.03513164349618502;_
information;0.03484187975212357;_
dépassements;0.03455299724214473;_
l'instant;0.0342449314343354;_
mme bachelot;0.0342449314343354;_
mutuelle;0.03423038100177611;_
compte;0.03386026140267675;_
patient;0.03378130177813672;_
hedwige chevrillon;0.03328547297681088;_
madame bachelot;0.03328547297681088;_
semaine;0.03323079363807546;_
roselyne bachelot;0.033051911800747076;_
caroline roux;0.03026098119162662;_
tva sociale;0.03026098119162662;_
gauche;0.030146049567916694;_
place;0.03014590357585586;_
plainte;0.02995460517817943;_
confiance;0.02955321032809522;_
borloo;0.029417807273467725;_
intégralité;0.02916610104256279;_
situation;0.02909233453001888;_
dépenses de santé;0.028749025986486355;_
l'hôpital public;0.028749025986486355;_
santé;0.028527224562327685;_
économies;0.028256384381928453;_
raison;0.02759436477933994;_
pays;0.027572978509069732;_
xavier bertrand;0.02721612010378944;_
modification de ce paramètrage;0.02708638076479518;_
paramètrage de votre compte;0.02708638076479518;_
roselyne bachelot narquin;0.02708638076479518;_
nicolas sarkozy;0.027062351254697515;_
année;0.027032717158451004;_
mougeotte;0.02685618163849215;_
usage strictement privé;0.026239934478985105;_
risque;0.026095095738093675;_
mesure;0.025979393681521773;_
règles;0.02597101874215734;_
xavier lambrechts;0.025534571838567954;_
sorte;0.025530554044674626;_
femmes;0.02517406523688143;_
interlocuteur commercial;0.02495695282277888;_
marseillaise;0.024914958492227978;_
ministre des sports;0.02491082789388457;_
circonscription;0.024899071665980068;_
javascript;0.024871185326224947;_
campagne;0.02456070501897717;_
tarifs;0.02449273922974577;_
bernard;0.024398263955316166;_
responsabilités;0.024288277835929028;_
débat;0.024090209882065627;_
chiffres;0.023131773483550774;_
jours;0.02308885864105129;_
parlement;0.023039867838541988;_
sport;0.02295162294486431;_
roselyne bachelot;0.022781206508112103;_
roselyne bachelot oui;0.022781206508112103;_
secrétaire d'etat;0.022781206508112103;_
charge;0.022692310097993853;_
travail;0.022663951068602653;_
e-mail;0.022647753124783815;_
côté;0.022555357312005423;_
caisse;0.022527654235919587;_
commande;0.0223742298271303;_
janvier;0.021946430946885698;_
contraire;0.021934845707003412;_
franchises médicales;0.021777972064485434;_
l'ump;0.021777972064485434;_
pierre luc seguillon;0.021548596035314553;_
